Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
"TAL-WITH-001","برداشت","برداشت بانکی","تسویه به کارت ثبت‌شده","دسترسی به پول","/dashboard/irt-transaction","برداشت","ورود","لازم","موجودی تومان","مشاهده‌شده","فعال","Web","پایا؛ حداکثر ۲ روز کاری","نامشخص","حداقل ۵۰هزار","راهنمای صفحه","talasea-FL-IRT-001-01-deposit-withdrawal.png","ثبت نشد","Withdrawal"
"TAL-XFER-001","انتقال","انتقال تومان به نقره‌سی","انتقال بین دو کیف محصول","جابجایی اکوسیستمی","/dashboard/irt-transaction","برداشت به نقره‌سی","ورود","نامشخص","موجودی تومان","مشاهده‌شده","فعال","Web","انتقال مستقیم کیف به کیف","نامشخص","نامشخص","راهنمای صفحه","talasea-FL-IRT-001-01-deposit-withdrawal.png","انتقال طلا یافت نشد","Transfer"
"TAL-BANK-001","بانک","مدیریت کارت","افزودن/حذف کارت بانکی","تسویه امن","/dashboard/bank-card","منو","ورود","مالکیت کارت","شماره کارت واقعی","مشاهده‌شده","فعال","Web","کارت باید به نام کاربر باشد","ندارد","نامشخص","فرم صفحه","talasea-FL-BANK-001-01-bank-cards.png","کارت ثبت نشد","Bank"
"TAL-PHYS-001","فیزیکی","تحویل درب منزل","آدرس، شهر، تاریخ و ساعت","دریافت دارایی واقعی","/dashboard/gold-receive","منو/نوار پایین","ورود","لازم","موجودی طلا و هزینه","مشاهده‌شده","فعال مشروط","Web","تحویل با کارت ملی هوشمند یا شناسنامه جدید","هزینه ارسال و بیمه","حداقل عمومی ۳۰ سوت","فرم صفحه","talasea-FL-PHYSICAL-001-01-entry.png","آدرس ثبت نشد","Physical"
"TAL-PHYS-002","فیزیکی","تحویل حضوری","پیگیری تحویل شعبه","دریافت حضوری","/dashboard/gold-receive","تب تحویل حضوری","ورود","لازم","موجودی طلا","مشاهده‌شده","فعال مشروط","Web","شعبه هروی در عمومی مشاهده شد","اجرت نامشخص","نامشخص","صفحه و شعب","talasea-physical-01-branches.png","فلو تکمیل نشد","Physical"
"TAL-GIFT-001","هدیه","سفارش کارت هدیه","کارت طلای فیزیکی/دیجیتال با آدرس","هدیه سرمایه‌ای","/dashboard/gift-card","منو","ورود","نامشخص","پرداخت/کیف","مشاهده‌شده","فعال مشروط","Web","حداقل ۵۰ سوت؛ آدرس و پرداخت","نامشخص","حداقل ۵۰ سوت","راهنمای صفحه","talasea-FL-GIFT-002-01-order-form.png","فرم با موجودی صفر نمایش محدود داشت","Gift"
"TAL-GIFT-002","هدیه","ثبت کد هدیه","فعال‌سازی کد","دریافت هدیه","/dashboard/gift-card-submit","منو","ورود","نامشخص","کد واقعی","قابل‌دسترسی‌نبود","فعال نامشخص","Web","هر کد یک‌بار؛ پاداش یک ماه","ندارد","یک‌بار","منوی کارت هدیه و قوانین","talasea-FL-GIFT-001-01-menu.png","طبق قانون توقف بررسی نشد","Gift"
"TAL-REPORT-001","گزارش","مرکز گزارش‌ها","معامله، واریز، برداشت، هدیه، تحویل، سفارش، اعتبار، پس‌انداز و سرمایه‌گذاری","پیگیری","/dashboard/reports","منو","ورود","نامشخص","ندارد","مشاهده‌شده","فعال","Web","داده حساب خالی بود","ندارد","ندارد","تب‌های صفحه","talasea-FL-REPORT-001-01-reports.png","رسید واقعی یافت نشد","History"
"TAL-ALERT-001","اعلان","آلارم قیمت","اعلان یک‌باره یا تکراری مرورگر","پایش قیمت","/dashboard/price-alert","منو","ورود و اجازه اعلان","ندارد","ندارد","مشاهده‌شده","فعال","Web","نیازمند permission مرورگر","ندارد","نامشخص","صفحه آلارم","talasea-FL-ALERT-001-01-price-alert.png","فعال نشد","Notification"
"TAL-STK-001","سرمایه‌گذاری","سرمایه‌گذاری طلایی","قفل طلا برای دوره و سود ماهانه طلا","بازده بدون فروش","/dashboard/staking","منو","ورود","نامشخص","موجودی طلا","مشاهده‌شده","فعال مشروط","Web","اصل طلا پایان دوره آزاد می‌شود","نامشخص","حداقل صفحه صفر/نامشخص","صفحه سرمایه‌گذاری","talasea-FL-STAKING-001-01-entry.png","نرخ/دوره به علت موجودی صفر دیده نشد","Saving"
"TAL-CREDIT-001","اقساط","هاب خرید اقساطی","هفت تأمین‌کننده","انتخاب اعتبار","/dashboard/credit-menu","منو","ورود","بسته به تأمین‌کننده","اعتبار","مشاهده‌شده","فعال","Web","دیجی‌پی، اسنپ‌پی، ازکی، نسیبا، فیروزه، کمان‌لند، وامی‌پی","۱٪ تا ۱۰٪ مشاهده‌شده","تا ۳۰۰میلیون در کمان‌لند","منو و صفحات","talasea-FL-CREDIT-001-01-provider-menu.png","درخواست نشد","Credit"
"TAL-CREDIT-002","اقساط","دیجی‌پی","۴ قسط تا ۳۰م و وام ۱۲ماهه تا ۲۰۰م","خرید بدون نقد","/dashboard/credit-digipay","هاب اقساط","ورود","تأمین‌کننده","اعتبار","مشاهده‌شده","فعال","Web","چک صیادی یا سفته برای وام","نامشخص","۳۰/۲۰۰میلیون","صفحه دیجی‌پی","talasea-FL-CREDIT-002-01-digipay.png","","Credit"
"TAL-CREDIT-003","اقساط","ازکی‌وام با وثیقه طلا","۱۲ تا ۲۴ ماه و وثیقه","اعتبار بدون ضامن","/dashboard/credit-azki","هاب اقساط","ورود","لازم","وثیقه طلا","مشاهده‌شده","فعال","Web","زیر ۹۰٪ بدهی، طلا به تومان تبدیل می‌شود؛ بررسی روزانه","نامشخص","تا ۲۰۰میلیون","FAQ صفحه","talasea-FL-CREDIT-003-azki.png","یک طرح همزمان","Credit"
"TAL-CREDIT-004","اقساط","اسنپ‌پی","خرید اقساطی با اعتبار بانکی","دسترسی سریع","/dashboard/credit-snapppay","هاب اقساط","ورود","تأمین‌کننده","اعتبار","مشاهده‌شده","فعال","Web","طلای خریداری‌شده قابل فروش/تحویل است","۱٪","نامشخص","صفحه اسنپ‌پی","talasea-FL-CREDIT-003-snapppay.png","","Credit"
"TAL-CREDIT-005","اقساط","نسیبا/فیروزه","دو مسیر اقساطی مشابه","تنوع تأمین‌کننده","/dashboard/credit-*","هاب اقساط","ورود","تأمین‌کننده","اعتبار","مشاهده‌شده","فعال","Web","خرید قابل فروش و تحویل","۳٫۵٪","نامشخص","صفحات مسیر","talasea-FL-CREDIT-003-nasiba.png","","Credit"
"TAL-CREDIT-006","اقساط","کمان‌لند","ویژه بازنشستگان رفاه","اعتبار تا ۳۰۰م","/dashboard/credit-kamanlend","هاب اقساط","ورود","شرایط سنی/حقوقی","اعتبار","مشاهده‌شده","فعال","Web","زیر ۷۵ سال؛ کسر از حقوق؛ ۳ تا ۳۶ ماه","۶٫۵٪","۱۰ تا ۳۰۰میلیون","صفحه کمان‌لند","talasea-FL-CREDIT-003-kamanlend.png","","Credit"
"TAL-CREDIT-007","اقساط","وامی‌پی","اعتبار ۵۰ تا ۲۰۰م با وثیقه","اعتبار بدون ضامن","/dashboard/credit-vamipay-users","هاب اقساط","ورود","تأمین‌کننده","وثیقه طلا","مشاهده‌شده","فعال","Web","قسط معوق یک‌ماهه می‌تواند فروش وثیقه ایجاد کند","۱۰٪ + سود ماهانه ۳٪","۵۰ تا ۲۰۰میلیون","صفحه وامی‌پی","talasea-FL-CREDIT-003-vamipay.png","","Credit"
"TAL-LOAN-001","اعتبار کالا","هاب اعتبار خرید","دیجی‌پی، کاریزما، ونسی","خرید کالا با وثیقه","/dashboard/loan","منو","ورود","بسته به مسیر","وثیقه","مشاهده‌شده","فعال","Web","درخواست نهایی حساس است","نامشخص","عمومی تا ۱۵۰میلیون","هاب اعتبار","talasea-FL-LOAN-001-01-dashboard-entry.png","صفحات تأیید صفر تکمیل نشد","Loan"
"TAL-CLUB-001","وفاداری","طلاسی کلاب","امتیاز، مأموریت و جایزه","درگیری و وفاداری","/dashboard/club","منو","ورود","ندارد","ندارد","مشاهده‌شده","فعال","Web","امتیاز دریافت/کسر و جوایز","ندارد","نامشخص","صفحه کلاب","talasea-FL-CLUB-001-01-entry.png","کمپین جام جهانی مشاهده شد","Loyalty"
"TAL-INV-001","ارجاع","دعوت دوستان","دعوت و سهم از کارمزد","رشد ارجاعی","/dashboard/invite","منو","ورود","نامشخص","ندارد","قابل‌دسترسی‌نبود","نامشخص","Web","صفحه محتوای عملیاتی نشان نداد","نامشخص","نامشخص","صفحه خالی پنل","talasea-FL-INVITE-001-01-entry.png","ارسالی انجام نشد","Referral"
"TAL-PROF-001","پروفایل","پروفایل و تغییر رمز","مدیریت حساب با کد موبایل","امنیت","/dashboard/profile","منو","ورود","موبایل","ندارد","مشاهده‌شده","فعال مشروط","Web","تغییر رمز با ارسال کد","ندارد","نامشخص","صفحه پروفایل","talasea-FL-PROFILE-001-01-profile.png","کد ارسال نشد","Profile"
"TAL-SUP-001","پشتیبانی","چت/تلفن/ایمیل","پشتیبانی ۲۴/۷","حل مسئله","Footer/Widget","فوتر","ندارد/ورود","ندارد","ندارد","مشاهده‌شده","فعال","Web","ارسال پیام حساس و انجام نشد","ندارد","ندارد","فوتر و ویجت","","کیفیت مکالمه بررسی نشد","Support"
"TAL-AUTO-001","پس‌انداز","پس‌انداز خودکار","ثبت برنامه دوره‌ای","پس‌انداز منظم","Reports/Public","معرفی و گزارش","ورود","نامشخص","موجودی","مشاهده‌شده","فعال‌بودن عملی تأیید نشد","Web","تب گزارش موجود؛ فلو مستقل یافت نشد","نامشخص","نامشخص","تب گزارش و خانه","talasea-FL-REPORT-001-01-reports.png","","Saving"
"TAL-TRUST-001","اعتماد","مجوزها","مجوزها و استعلام‌ها","اعتماد","/license","فوتر","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","چند مجوز لینک استعلام دارد","ندارد","ندارد","صفحه مجوز","talasea-trust-01-licenses.png","","Trust"
"TAL-BULL-001","فروشگاه","فروشگاه شمش","شمش ۱۸ و ۲۴ عیار","خرید فیزیکی","/gold-shop","سایت عمومی","ندارد تا سبد","نامشخص","پرداخت","مشاهده‌شده","فعال","Web","وزن‌های متعدد","متناقض با اپ","۰٫۵ تا ۱۰ گرم مشاهده‌شده","فروشگاه","talasea-bullion-01-shop.png","خرید تکمیل نشد","Physical"
"TAL-PRICE-002","ابزار","ماشین‌حساب و صفحات بازار","محاسبه و داده سکه/انس","آگاهی","Public","ناوبری","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","فرمول مالیات و مقایسه بازار","ندارد","ندارد","صفحات عمومی","talasea-price-01-public-prices.png","","Education"
"TAL-KYC-001","احراز هویت","قواعد KYC","موبایل، کدملی، تولد و کارت","امنیت و انطباق","Rules/Profile","ورود/قوانین","ورود","لازم برای مالی","ندارد","مشاهده‌شده","فعال","Web","هر کدملی یک حساب؛ تغییر پس از تأیید ممکن نیست","ندارد","یک حساب","قوانین","talasea-rules-01-public-rules.png","مراحل واقعی KYC مشاهده نشد","KYC"
"TAL-NOTIF-001","اعلان","مرکز اعلان","مرکز جداگانه اعلان‌ها","پیگیری","پنل","یافت نشد","ورود","نامشخص","ندارد","یافت‌نشد","نامشخص","Web","فقط آلارم قیمت/اعلان مرورگر دیده شد","ندارد","ندارد","منو پنل","","","Notification"
