Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
"FT-SELL-002","فروش","پیشنهاد جایگزین فروش","در فروش پیام «طلات رو سرمایه‌گذاری کن» دیده شد","کاهش فروش و هدایت به سرمایه‌گذاری/وام","فرم فروش","تب فروش","ورود","احتمالاً لازم","موجودی طلا","مشاهده‌شده","فعال","PWA","پیشنهاد سرمایه‌گذاری یا وام به جای فروش","ندارد","ندارد","متن پیشنهاد در فروش مشاهده شد","melligold-FL-SELL-001-01-sell-entry-empty-balance.png","الگوی retention قابل بررسی برای شمش","Retention"
"FT-DEPOSIT-001","واریز","انتخاب روش واریز","لیست روش‌های شارژ کیف پول با سقف و زمان","انتخاب آگاهانه روش پرداخت","/pwa/payment-gateway/methods","خدمات > واریز","ورود","احتمالاً لازم","کیف پول","مشاهده‌شده","فعال","PWA","روش‌ها سقف و زمان دارند","ندارد","از ۱۵ میلیون تا نامحدود بسته به روش","لیست روش‌ها مشاهده شد","melligold-FL-DEPOSIT-001-01-method-list.png","یکی از قوی‌ترین الگوهای UX محصول","Deposit"
"FT-DEPOSIT-002","واریز","درگاه آنلاین","واریز آنی تا سقف مشخص از درگاه","شارژ سریع کیف پول","/pwa/deposit/online-gateway","روش‌های واریز","ورود","احتمالاً لازم","کارت بانکی/پرداخت","مشاهده‌شده","فعال","PWA","تا ۴۰۰ میلیون تومان روزانه، آنی","کارمزد نمایش داده نشد","۱۰,۰۰۰ تا ۴۰۰,۰۰۰,۰۰۰ تومان","فرم درگاه مشاهده شد","melligold-FL-DEPOSIT-001-02-online-gateway-form.png","پرداخت بانکی انجام نشد","Deposit"
"FT-DEPOSIT-003","واریز","کارت‌به‌کارت","نمایش کارت مبدا مجاز، کارت مقصد و اعلام انجام واریز","شارژ با کارت‌به‌کارت","/pwa/deposit/card-to-card","روش‌های واریز","ورود و کارت ثبت‌شده","احتمالاً لازم","انتقال بانکی واقعی","مشاهده‌شده","فعال","PWA","فقط از کارت ثبت‌شده؛ تا ۱۵ میلیون؛ کمتر از ۱۵ دقیقه","نامشخص","۱۵ میلیون تومان روزانه","کارت مقصد و راهنما مشاهده شد","melligold-FL-DEPOSIT-002-01-card-to-card.png","انتقال واقعی انجام نشد","Deposit"
"FT-DEPOSIT-004","واریز","حساب‌به‌حساب","نمایش حساب/شبا مقصد و هشدار حساب مبدا","واریز مبلغ بالاتر با حواله","/pwa/deposit/bank-transfer","روش‌های واریز","ورود و حساب ثبت‌شده","احتمالاً لازم","انتقال بانکی واقعی","مشاهده‌شده","فعال","PWA","بدون محدودیت؛ کشاورزی کمتر از ۱۵ دقیقه، سایر بانک‌ها پایا","نامشخص","بدون محدودیت اعلام شده","صفحه حساب‌به‌حساب مشاهده شد","melligold-FL-DEPOSIT-003-01-bank-transfer.png","واریز واقعی انجام نشد","Deposit"
"FT-DEPOSIT-005","واریز","واریز شناسه‌دار","واریز با شناسه اختصاصی و شبا","کاهش خطای تطبیق واریز","/pwa/deposit/tracking-id","روش‌های واریز","ورود و حساب ثبت‌شده","احتمالاً لازم","حواله پایا","مشاهده‌شده","فعال","PWA","عدم استفاده از پل؛ شارژ ۱۰ تا ۱۴؛ مبدا باید شبا ثبت‌شده باشد","نامشخص","تا ۴۰۰ میلیون","متن قوانین واریز شناسه‌دار مشاهده شد","melligold-FL-DEPOSIT-004-01-tracking-id.png","برای مبالغ رسمی و traceable مناسب است","Deposit"
"FT-DEPOSIT-006","واریز","انتقال سنگین/پیش‌فاکتور","دریافت پیش‌فاکتور و ثبت رسید برای مبالغ بالا","پشتیبانی از سرمایه‌گذار کلان","/pwa/deposit/large-transfer","روش‌های واریز","ورود","احتمالاً لازم","حواله بانکی و رسید","مشاهده‌شده","فعال","PWA","برای بیش از ۴۰۰ میلیون؛ شارژ پس از تایید در چرخه پایا","نامشخص","بیش از ۴۰۰ میلیون","راهنمای پیش‌فاکتور مشاهده شد","melligold-FL-DEPOSIT-005-01-large-transfer.png","برای شمش بسیار مهم است","High value"
"FT-WITHDRAW-001","برداشت","برداشت ریالی","انتقال موجودی کیف پول به حساب بانکی","خروج پول از پلتفرم","/pwa/payout","خدمات > برداشت","ورود و حساب بانکی","احتمالاً لازم","موجودی کیف پول","مشاهده‌شده","فعال","PWA","تسویه پایا؛ هشدار برخی بانک‌ها","نامشخص","۱۰,۰۰۰ تا ۲۰۰,۰۰۰,۰۰۰ تومان در placeholder","فرم برداشت مشاهده شد","melligold-FL-WITHDRAW-001-01-payout-entry.png","برداشت نهایی انجام نشد","Withdrawal"
"FT-WITHDRAW-002","برداشت","هشدار بانک و پایا","نمایش بانک‌های دارای اختلال و چرخه تسویه","کاهش ابهام برداشت","فرم برداشت","صفحه برداشت","ورود","احتمالاً لازم","برداشت","مشاهده‌شده","فعال","PWA","تعطیلات فقط یک بار بین ۱۲:۴۵ تا ۱۳:۴۵","نامشخص","وابسته به پایا","هشدار در صفحه برداشت مشاهده شد","melligold-FL-WITHDRAW-001-01-payout-entry.png","اطلاعات اعتماد نزدیک CTA است","Withdrawal"
"FT-BANK-001","حساب بانکی","لیست حساب‌های بانکی","نمایش کارت، حساب، شبا و بانک تاییدشده","اطمینان از مبدا/مقصد مالی","/pwa/cards","پروفایل > حساب‌های بانکی","ورود","احتمالاً لازم","کارت/حساب بانکی","مشاهده‌شده","فعال","PWA","حساب باید متعلق به کد ملی کاربر باشد","ندارد","نامشخص","صفحه حساب‌ها مشاهده شد","melligold-FL-BANK-001-01-bank-accounts.png","اطلاعات دقیق کاربر در گزارش متنی تکرار نشده","Bank"
"FT-BANK-002","حساب بانکی","افزودن کارت","فرم ورود شماره کارت","افزودن مبدا/مقصد مجاز","/pwa/cards","افزودن حساب","ورود","احتمالاً لازم","شماره کارت","مشاهده‌شده","فعال","PWA","کارت باید متعلق به کد ملی کاربر باشد","ندارد","شماره کارت معتبر","فرم و خطای خالی مشاهده شد","melligold-FL-BANK-001-03-add-account-empty-error.png","کارت واقعی وارد نشد","Bank"
"FT-HIST-001","تاریخچه","تب‌های تاریخچه","تراکنش‌ها بر اساس نوع جدا می‌شوند","پیگیری سریع رویدادها","/pwa/history","خدمات > تاریخچه","ورود","احتمالاً لازم","ندارد","مشاهده‌شده","فعال","PWA","تب‌های واریز، برداشت، خرید و فروش، انتقال طلا، قسطی، زرگر و ...","ندارد","ندارد","تاریخچه مشاهده شد","melligold-FL-HISTORY-001-01-history-main.png","الگوی IA بسیار کاربردی است","History"
"FT-HIST-002","تاریخچه","رسید واریز","نمایش رسید موفق واریز با جزئیات","اعتماد و پیگیری","جزئیات تاریخچه","کلیک روی تراکنش واریز","ورود","احتمالاً لازم","تراکنش موجود","مشاهده‌شده","فعال","PWA","نوع IPG، بانک، زمان و کد رهگیری نمایش داده شد","ندارد","ندارد","رسید مشاهده شد","melligold-FL-HISTORY-001-05-deposit-receipt.png","اشتراک‌گذاری و بازگشت دارد","Receipt"
"FT-HIST-003","تاریخچه","اشتراک‌گذاری رسید","دکمه اشتراک‌گذاری در رسید","ارسال مدرک تراکنش","رسید تراکنش","جزئیات رسید","ورود","احتمالاً لازم","تراکنش موجود","مشاهده‌شده","فعال","PWA","رفتار share تست نشد","ندارد","ندارد","دکمه اشتراک‌گذاری دیده شد","melligold-FL-HISTORY-001-05-deposit-receipt.png","برای شمش رسید PDF/تصویر قابل بررسی است","Receipt"
"FT-SHIP-001","تحویل فیزیکی","انتخاب روش تحویل","انتخاب درب منزل یا شعبه","دریافت دارایی واقعی","/pwa/shipment","خدمات > تحویل طلا","ورود","احتمالاً لازم","موجودی طلا","مشاهده‌شده","فعال","PWA","دو مسیر تحویل نمایش داده شد","نامشخص","وابسته به محصول/موجودی","صفحه ورودی تحویل مشاهده شد","melligold-FL-SHIPMENT-001-01-entry.png","برای شمش هسته تمایز است","Physical"
"FT-SHIP-002","تحویل فیزیکی","کاتالوگ تحویل درب منزل","محصولات شمش با وزن، عیار، معادل ۱۸ عیار و قیمت","انتخاب محصول فیزیکی","/pwa/shipment/17","تحویل درب منزل","ورود","احتمالاً لازم","موجودی طلا","مشاهده‌شده","محدود","PWA","با موجودی صفر انتخاب تکمیل نشد","نامشخص","محصولات ۰.۵ تا ۱۰۰ گرم مشاهده شد","کاتالوگ خانه مشاهده شد","melligold-FL-SHIPMENT-002-01-home-delivery.png","سبد تحویل و تاریخچه پایین صفحه دارد","Physical"
"FT-SHIP-003","تحویل فیزیکی","تحویل در شعب","انتخاب شعبه و محصول موجود در شعبه","دریافت حضوری","/pwa/shipment/pickup","تحویل در شعب","ورود","احتمالاً لازم","موجودی طلا","مشاهده‌شده","محدود","PWA","۲۳ شعبه فعال در ورودی نمایش داده شد","نامشخص","وابسته به شعبه/محصول","فلو شعبه مشاهده شد","melligold-FL-SHIPMENT-003-03-after-branch-select.png","انتخاب شعبه قبل از محصول است","Physical"
"FT-SHIP-004","تحویل فیزیکی","سبد تحویل","نمایش تعداد آیتم‌های انتخاب‌شده برای تحویل","کنترل سفارش فیزیکی","کاتالوگ تحویل","پایین صفحه","ورود","احتمالاً لازم","انتخاب محصول","مشاهده‌شده","فعال","PWA","با صفر موجودی سبد صفر ماند","نامشخص","نامشخص","دکمه «۰ سبد تحویل» دیده شد","melligold-FL-SHIPMENT-002-01-home-delivery.png","تکمیل سبد ممکن نشد","Physical"
"FT-ZARGAR-001","سرمایه‌گذاری","معرفی طرح زرگر","شرح تبدیل طلا به چرخه تولید و بازگشت اصل/سود طلا","درآمدزایی از طلا","/pwa/investments/onboarding","طرح زرگر","ورود","احتمالاً لازم","موجودی طلا برای ادامه","مشاهده‌شده","فعال","PWA","اصل و سود در پایان به صندوق طلا اضافه می‌شود","نامشخص","نامشخص","صفحه معرفی مشاهده شد","melligold-FL-ZARGAR-001-01-portfolio.png","روایت تولید/ضرب برای شمش مهم است","Investment"
"FT-ZARGAR-002","سرمایه‌گذاری","انتخاب طرح زرگر","ورود گرم، انتخاب دوره و مشاهده سود","برنامه‌ریزی سرمایه‌گذاری","/pwa/investments/plan","شروع سپرده‌گذاری","ورود","احتمالاً لازم","حداقل ۰.۵ گرم","مشاهده‌شده","محدود","PWA","۱ ماه ۰.۵٪، ۳ ماه ۱.۷۵٪، ۶ ماه ۴.۵٪، ۹ ماه ۷.۵٪، ۱۲ ماه ۱۲٪","نامشخص","حداقل ۰.۵ گرم","فرم و خطای خالی مشاهده شد","melligold-FL-ZARGAR-001-03-start-form-or-limit.png","به دلیل موجودی صفر تکمیل نشد","Investment"
"FT-CREDIT-001","اعتبار","وام آنی","معرفی وام تا ۵۰ میلیون، تا ۷۰٪ ارزش طلا، بدون ضامن","نقدشوندگی بدون فروش طلا","/pwa/credit","خدمات > وام آنی","ورود","احتمالاً لازم","وثیقه طلا","مشاهده‌شده","فعال","PWA","تا ۵۰ میلیون و تا ۷۰٪ ارزش طلا در معرفی","کارمزد در محاسبه‌گر","سقف ۵۰ میلیون در تست","معرفی وام مشاهده شد","melligold-FL-CREDIT-001-01-instant-credit.png","اقدام نهایی انجام نشد","Credit"
"FT-CREDIT-002","اعتبار","محاسبه‌گر وام","محاسبه وثیقه، هزینه زیرساخت، کارمزد، مهلت و بازپرداخت","شفافیت هزینه وام","/pwa/credit?step=calculation","شروع وام","ورود","احتمالاً لازم","وثیقه طلا","مشاهده‌شده","فعال","PWA","۵۰ میلیون اعتبار؛ وثیقه ۴.۰۷۳ گرم؛ ۳۰ روز؛ بازپرداخت ۵۳ میلیون","کارمزد روزانه ۲۳,۰۰۰ تومان و هزینه زیرساخت ۷۷,۰۰۰ تومان","۱۰ تا ۵۰ میلیون در اسلایدر","محاسبه‌گر مشاهده شد","melligold-FL-CREDIT-001-02-calculation-raw.png","ثبت نهایی وام انجام نشد","Credit"
"FT-INST-001","قسطی","لیست تامین‌کنندگان قسطی","سه گزینه ازکی‌وام، دیجی‌پی و وایب","انتخاب روش اعتبار بیرونی","/pwa/loan","خدمات > خرید قسطی","ورود","احتمالاً لازم","اعتبار تامین‌کننده","مشاهده‌شده","فعال","PWA","شرایط هر تامین‌کننده متفاوت است","نامشخص","از ۲۰ تا ۵۰۰ میلیون بسته به تامین‌کننده در متن","لیست تامین‌کنندگان مشاهده شد","melligold-FL-INSTALLMENT-001-01-provider-list-raw.png","تایید اعتبار بیرونی انجام نشد","Installment"
"FT-INST-002","قسطی","ازکی‌وام","خرید قسطی بدون چک/ضامن با دوره ۱۲،۱۸،۲۴ ماهه و محاسبه‌گر","افزایش قدرت خرید","/pwa/loan/azki","ازکی‌وام","ورود","احتمالاً لازم","اعتبار ازکی","مشاهده‌شده","فعال","PWA","تا سقف ۲۰۰ میلیون در معرفی؛ محاسبه‌گر ۶/۱۲/۱۸/۲۴ ماهه","مابه‌التفاوت ۱۵٪ و سود سالانه ۲۳٪ در نمونه","۱۰ تا ۲۰۰ میلیون در اسلایدر","معرفی و محاسبه‌گر مشاهده شد","melligold-FL-INSTALLMENT-002-02-azki-calculator-raw.png","انتخاب بانک/نهایی انجام نشد","Installment"
"FT-INST-003","قسطی","دیجی‌پی","خرید قسطی با اعتبار دیجی‌پی و قیمت طلای قسطی","استفاده از اعتبار دیجی‌پی","/pwa/loan/digipay","دیجی‌پی","ورود","احتمالاً لازم","اعتبار دیجی‌پی","مشاهده‌شده","فعال","PWA","۴ قسطه تا ۲۰ میلیون و ۱۲ قسطه تا ۱۰۰ میلیون در معرفی","قیمت طلای قسطی جداگانه نمایش داده شد","حداقل ۱۰,۰۰۰ در فرم","معرفی و فرم مشاهده شد","melligold-FL-INSTALLMENT-003-01-digipay-onboarding-raw.png","اسکرین‌شات فرم نهایی قابل استفاده ندارد","Installment"
"FT-INST-004","قسطی","وایب","خرید قسطی با اعتبار وایب/کارت رفاهی بانک رفاه","استفاده از کارت/اعتبار رفاهی","/pwa/loan/vibe","وایب","ورود","احتمالاً لازم","اعتبار وایب","مشاهده‌شده","فعال","PWA","تا ۵۰۰ میلیون؛ بازپرداخت ۴ یا ۲۴ ماهه در معرفی","نامشخص","تا ۵۰۰ میلیون در متن","معرفی وایب مشاهده شد","melligold-FL-INSTALLMENT-004-01-vibe-onboarding-raw.png","فرم نهایی کامل مستند نشد","Installment"
"FT-LIMIT-001","سفارش","سفارش خودکار","ثبت سفارش خرید/فروش با قیمت دلخواه، مقدار و مدت اعتبار","معامله شرطی بدون حضور مداوم","/pwa/limit-order","خدمات > سفارش خودکار","ورود","احتمالاً لازم","موجودی کافی","مشاهده‌شده","فعال","PWA","مدت اعتبار ۱۵ یا ۳۰ روز؛ واحد تومان/گرم/سوت","نامشخص","نامشخص","فرم و خطای خالی مشاهده شد","","اسکرین‌شات پایدار نشد","Automation"
"FT-GIFT-001","هدیه","کد هدیه","صفحه دریافت هدیه با کد","دریافت پاداش/هدیه","/pwa/gift","خدمات > کد هدیه","ورود","احتمالاً لازم","کد هدیه","مشاهده‌شده","فعال","PWA","کد واقعی وارد نشد","نامشخص","نامشخص","صفحه دریافت هدیه مشاهده شد","","اسکرین‌شات قابل استفاده ندارد","Gift"
"FT-GIFTCARD-001","کارت هدیه","سفارش کارت هدیه","انتخاب کارت هدیه وزنی از کاتالوگ","هدیه‌دادن طلا","/pwa/gift-card -> /pwa/shipment/17?gift-card=true","خدمات > کارت هدیه","ورود","احتمالاً لازم","موجودی یا پرداخت/طلا","مشاهده‌شده","محدود","PWA","محصولات ۵۰ سوت تا ۱۰ گرم با عیار ۷۵۰ دیده شد","نامشخص","وابسته به محصول","کاتالوگ کارت هدیه مشاهده شد","","اسکرین‌شات قابل استفاده ندارد","Gift"
"FT-GIFTCARD-002","کارت هدیه","فعال‌سازی کارت هدیه","ورود کد روی کارت هدیه، حساس به حروف کوچک و بزرگ","تبدیل کارت به دارایی","/pwa/gift-card/redeem","فعال‌سازی کارت هدیه","ورود","احتمالاً لازم","کد کارت هدیه","مشاهده‌شده","فعال","PWA","کد واقعی وارد نشد","نامشخص","نامشخص","فیلد کد روی کارت مشاهده شد","","اسکرین‌شات قابل استفاده ندارد","Gift"
"FT-REF-001","رشد","دعوت دوستان","نمایش پاداش معرف و دعوت‌شده، کد دعوت، اشتراک‌گذاری و دعوت با موبایل","رشد ارجاعی","/pwa/referral","خدمات یا داشبورد","ورود","احتمالاً لازم","ندارد","مشاهده‌شده","فعال","PWA","معرف ۷ سوت، دعوت‌شده ۲ سوت با احراز هویت؛ سقف ۳۰ میلیون تومان","ندارد","سقف دریافت هدیه ۳۰ میلیون تومان","متن قوانین دعوت مشاهده شد","","اسکرین‌شات قابل استفاده ندارد","Referral"
"FT-REF-002","رشد","لیست دعوت‌شده‌ها","نمایش افراد دعوت‌شده و وضعیت آن‌ها","پیگیری پاداش","/pwa/referral/invites","مشاهده همه","ورود","احتمالاً لازم","دعوت قبلی","مشاهده‌شده","فعال","PWA","وضعیت «در انتظار احراز یا خرید فرد دعوت شده» دیده شد","ندارد","ندارد","لیست دعوت‌شده‌ها مشاهده شد","","اطلاعات شماره در گزارش متنی کامل تکرار نشده","Referral"
"FT-SUPPORT-001","پشتیبانی","پشتیبانی در پروفایل","باز شدن گزینه‌های چت آنلاین، FAQ و تماس","دسترسی سریع به کمک","/pwa/profile","پروفایل > پشتیبانی","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","تماس با ما tel link دارد","ندارد","ندارد","آکاردئون پشتیبانی مشاهده شد","","اسکرین‌شات قابل استفاده ندارد","Support"
"FT-SUPPORT-002","پشتیبانی","FAQ","دسته‌های وام آنی، کد هدیه، کسب درآمد، کار با سامانه، اصطلاحات، تحویل، اصالت، خرید و فروش","پاسخ self-service","/pwa/faq","پشتیبانی > سوالات متداول","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","در برخی idها tel:undefined دیده شد","ندارد","ندارد","FAQ و دسته‌ها مشاهده شد","","برخی دسته‌ها سوالات را پایدار نشان ندادند","Support"
"FT-SUPPORT-003","پشتیبانی","چت آنلاین","صفحه چت آنلاین","پاسخ سریع","/pwa/online-chat","پشتیبانی > چت آنلاین","ورود","ندارد","ندارد","مشاهده‌شده","نامشخص","PWA","فقط عنوان صفحه مشاهده شد","نامشخص","نامشخص","صفحه چت آنلاین باز شد","","پیامی ارسال نشد","Support"
"FT-NOTIF-001","اعلان","اعلان‌ها و فعالیت‌ها","صفحه اطلاع‌رسانی","آگاهی از رویدادها","/pwa/notifications","آیکون/URL اعلان","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","فقط عنوان «اطلاع رسانی» دیده شد","ندارد","ندارد","صفحه اعلان‌ها باز شد","","اسکرین‌شات قابل استفاده ندارد","Notification"
"FT-SEC-001","امنیت","ورود دومرحله‌ای","Setup Key، QR و درخواست کد یکبار مصرف برای Google Authenticator","افزایش امنیت حساب","/pwa/two-factor-auth","پروفایل > امنیت","ورود","احتمالاً لازم","ندارد","مشاهده‌شده","فعال","PWA","نصب Authenticator و درخواست SMS قبل از فعال‌سازی","ندارد","نیاز به OTP","صفحه 2FA مشاهده شد","melligold-FL-SECURITY-001-01-two-factor.png","OTP درخواست نشد","Security"
"FT-LEGAL-001","قوانین","قوانین PWA","قوانین و تعهدات، کارمزد، واریز، خرید و فروش، تحویل، زرگر، دعوت و نقره","شفافیت حقوقی","/pwa/terms","پروفایل > قوانین","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","بخش‌های متعدد قوانین در صفحه دیده شد","در بخش قوانین ذکر شده اما جزئیات استخراج نشد","نامشخص","صفحه قوانین مشاهده شد","melligold-FL-LEGAL-001-01-pwa-terms.png","برای استخراج دقیق قوانین نیاز به مطالعه عمیق متن کامل است","Legal"
"FT-LEGAL-002","اعتماد","مجوزها","صفحه عمومی مجوزها با پروانه‌ها و گواهینامه‌ها","اعتماد به کسب‌وکار","https://melligold.com/licenses","پروفایل > مجوزها","عمومی","ندارد","ندارد","مشاهده‌شده","فعال","Public","مجوزهای تولید، آب‌شده، شمش، سکه، ISO و کسب‌وکار آنلاین دیده شد","ندارد","ندارد","متن صفحه مجوزها استخراج شد","","اسکرین‌شات قابل استفاده ندارد","Trust"
